Name,Race,Class,Faction,Gold,Location,Expansion
Ababael Timsar-Dadisun,Dark Elf,Trader Service,Ashlanders ,9000,Zainab Camp,Base Game
Abelle Chriditte,Breton,Alchemist Service,,3000,Valenvaryon,Base Game
Addut-Lamanu,Dark Elf,Healer Service,Ashlanders ,100,Erabenimsun Camp,Base Game
Agning,Nord,Publican,,150,Ebonheart,Base Game
Agrippina Herennia,Imperial,Clothier,,350,Vivec,Base Game
Ajira,Khajiit,Alchemist Service,Mages Guild ,800,Balmora,Base Game
Alarvyne Indalas,Dark Elf,Trader Service,,100,Vivec,Base Game
Alds Baro,Dark Elf,Smith,House Redoran ,1400,Maar Gan,Base Game
Alenus Vendu,Dark Elf,Enchanter Service,House Telvanni ,1300,Tel Vos,Base Game
Allding,Nord,Pawnbroker,Thieves Guild ,300,Ald'ruhn,Base Game
Alusaron,Redguard,Smith,,2500,Vivec,Base Game
Alveno Andules,Dark Elf,Pawnbroker,House Hlaalu ,200,Vivec,Base Game
Amarie Charien,Breton,Healer Service,Imperial Legion ,150,Moonmoth Legion Fort,Base Game
Anarenen,High Elf,Alchemist Service,Mages Guild ,400,Ald'ruhn,Base Game
Anas Ulven,Dark Elf,Thief Service,Camonna Tong ,100,Gnaar Mok,Base Game
Ancola,Redguard,Trader Service,House Telvanni ,800,Sadrith Mora,Base Game
Andil,High Elf,Apothecary Service,House Telvanni ,400,Tel Vos,Base Game
Andilu Drothan,Dark Elf,Alchemist Service,House Hlaalu ,200,Vivec,Base Game
Anis Seloth,Dark Elf,Alchemist Service,House Telvanni ,800,Sadrith Mora,Base Game
Anruin,Wood Elf,Smith,House Telvanni ,800,Sadrith Mora,Base Game
Arangaer,Wood Elf,Alchemist Service,,500,Sadrith Mora,Base Game
Areas,Nord,Barbarian,Quarra Clan ,300,Druscashti,Base Game
Arenara,Imperial,Smith,Berne Clan ,990,Galom Daeus,Base Game
Arnand Liric,Breton,Healer Service,Imperial Legion ,250,Buckmoth Legion Fort,Base Game
Arrille,High Elf,Trader Service,,800,Seyda Neen,Base Game
Aryne Telnim,Dark Elf,Smith,,900,Tel Aruhn,Base Game
Ashuma-Nud Matluberib,Dark Elf,Smith,,700,Gnisis,Base Game
Ashumanu Eraishah,Dark Elf,Trader Service,,75,Suran,Base Game
Ashur-Dan,Dark Elf,Trader Service,Ashlanders ,300,Zainab Camp,Base Game
Audenian Valius,Imperial,Enchanter Service,House Telvanni ,850,Vivec,Base Game
Aunius Autrus,Imperial,Priest Service,Imperial Cult ,200,Wolverine Hall,Base Game
Aurane Frernis,Dark Elf,Apothecary Service,,300,Vivec,Base Game
